INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]284
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]285
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]286
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]287
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]288
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]289
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]290
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]291
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]292
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]293
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]294
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]295
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]296
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]297
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]298
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]299
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]300
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]301
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]302
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]303
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]304
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]305
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]306
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]307
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]308
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]309
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]310
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]311
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]312
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]313
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]314
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]315
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]316
